companyName,locationName,pressName,glueTab,leadEdge
International Paper,Columbus,ward 50˝,LEFT,BOTTOM
International Paper,Bay Minette,??,??,??
International Paper,Bogalusa,??,??,??
International Paper,Cleveland,50˝ T-HEAD-#5170,RIGHT,TOP
International Paper,Cleveland,66˝ BOBST ELITE,??,??
International Paper,Cleveland,38˝X96˝ S&S,RIGHT,TOP
International Paper,Cleveland,40˝ MARTIN #5124,RIGHT,TOP
International Paper,Cleveland,66˝ - .165 NON PRINT PB,??,??
International Paper,Cleveland,EVOL,LEFT,TOP
International Paper,Cleveland,,,
International Paper,Cleveland,,,
International Paper,Cleveland,,,
International Paper,Dothan,,,
International Paper,Morristown,,,
International Paper,Murfreesboro,,,
International Paper,Orlando,,,
International Paper,Plant City,,,
International Paper,Tampa,,,
International Paper,Decatur,,,
International Paper,Griffin,,,